title;name;location;requirements;language_req;sector;salary
Új és használt tehergépjármû értékesítõ; ;Országosan bárhonnan végezhetõ;Autóiparban szerzett többéves kereskedelmi tapasztalatSzakirányú mûszaki vagy kereskedelmi középfokú végzettségB kategóriás jogosítványFelhasználói szintû számítógépes ismeretekKiváló kommunikációs és kapcsolatteremtõ készségÜgyfélorientált, együttmûködõ magatartásÖnálló munkavégzés, kiváló problémamegoldó képesség;Nem igényel nyelvtudást;Értékesítés;
Sokszínû IT – alapozó képzés német nyelvtudással (REF1095K);Deutsche Telekom IT Solutions;Budapest, Debrecen, Pécs, Szeged, Hungary;Képzettség •    min. B2 német és kommunikációképes angol nyelvtudás•    kiváló kommunikációs készség szóban és írásbanElõny:•    bármilyen informatikai gyakorlat•    multinacionális környezetben szerzett tapasztalatSzemélyes karakter:•    csapatjátékos•    motivált•    proaktív•    fejlõdni vágyó További információk    * Please be informed that our remote working possibility is only available within Hungary due to European taxation regulation.;Angol középfok;IT Fejlesztés;
Customer Experience Associate (German Speaking); ;Anywhere nationwide, Egyéb külföld;What we're looking for…Excellent  German  and English are also a must - written and spoken3 - 5 years of experience in a similar role in a remote setting (a must)A customer-centric approach to resolving issuesEffective collaborator, able to support other team membersAbility to monitor the progress of your requests and anticipate roadblocksShow resilience in times of pressure. Startup experience is also a plusA quiet environment for making calls, and a reliable internet connectionWhat we offer…As a fully remote and completely distributed team, you can do your best work from anywhere you are the happiestOpportunities to get to know some of your colleagues at our officesCompetitive salaryMerit-based culture with substantial growth opportunitiesTrust-based work – organize your own schedule. We want to celebrate results, not hours spent workingCollaborative team culture where everyone's input is valuedSubsidised gym membership subscription and other benefitsTraining and development allowanceRegular offsite and virtual team and company events, such as Sales Academies, Hackathons, Quizzes and more!*Some benefits may vary due to local laws and regulations. Who we are...WorkMotion is a remote-first HR-tech startup founded in 2020. We offer an all-in-one HR platform to our clients, allowing them to compliantly hire the very best talent anywhere in the world (WorkGlobal & WorkDirect) . Additionally, we enable our customers to retain their talents by offering them location-flexible temporary employment abroad through our easy to use WorkFlex product.WorkMotion is led by an experienced founding team, and backed by some of the most renowned investors globally. You will be part of our incredibly intercultural team distributed all over this beautiful planet and will have the chance to learn and grow with the company. If you like to roll up your sleeves and go all in, we can do it and build the #futureofwork together! We'd love to see you soon. **No matter what you look like, where you're from or where you prefer to work, we encourage everyone to apply. We believe that the more diversified we are, the more we can revolutionize the working world!**;Angol felsõfok;Ügyfélszolgálat;
Tesztmérnök; ;Országosan bárhonnan végezhetõ;Releváns mérnöki, mechatronikai, mérnökinformatikus, villamosmérnöki, gépészmérnöki tanulmányokTapasztalat tesztelésben (autópar elõny)Matlab / Simulink, VBA és Python tapasztalatAnalitikus, gyakorlatias gondolkodásÜgyfélorientált, felelõsségteljes munkastílusCsapatmunkában való sikeres érvényesülés0-2 év szakmai tapasztalatPályakezdõk jelentkezését is várjuk 2 hónapos németországi (BMW) tréning vállalása eseténMagabiztos, aktív német nyelvtudás;Német középfok;Mérnök;
Barista - Debrecen; ;Debrecen; ;Nem igényel nyelvtudást; ;
Területi képviselõ (Hajdú-Bihar/Szabolcs-Szatmár-Bereg);Sweet-Line-98 Kft.;Rugalmas munkavégzési hely - Hajdú-Bihar megye, Szabolcs-Szatmár-Bereg megye;Minimum középfokú iskolai végzettségB kategóriás jogosítványKiváló kapcsolatteremtõ és kommunikációs képességMeggyõzõ fellépés, agilis személyiségÖnállóság, mobilitás, nagy teherbírás, célorientáltság;Nem igényel nyelvtudást;Értékesítés;
Kereskedelmi menedzser;Exelect Hungary Kft.;Országosan bárhonnan végezhetõ;Korábbi tapasztalatod és az itt megszerzett termékismereted birtokában, ha tevékenységedet eredményesen végzed, az elõrelépés lehetõsége biztosított számodra. Betanításodról közvetlen Vezetõ fog gondoskodni, akivel lehetõséged lesz együttmûködni. Õ egy olyan személy, aki már birodalmat épített és megmutatja neked, ezt hogyan. Olyan személyt keresünk, aki képes önmagát menedzselni, csapatban célokért hajtani és mindezért folyton mozgásban lenni. Ha szívesen kipróbálnád magad, jelentkezz most az alábbi gombra kattintva egy 5 perces kérdõív kitöltésével!;Angol középfok;Értékesítés;
Senior android fejlesztõ;Profession Services;Otthonról végezhetõ;Android fejlesztésben szerzet minimum 2 év tapasztalatTesztvezérelt fejlesztési tapasztalat (TDD)Unit tesztek írásaKotlin programnyelv ismerete;Nem igényel nyelvtudást;IT Fejlesztés;
Android fejlesztõ;Profession Services;Otthonról végezhetõ;Android fejlesztésben minimum 3 év tapasztalatJava és Kotlin programnyelvek alapos ismerete Magabiztos angol nyelvtudás;Angol középfok;IT Fejlesztés;Bruttó 1,0M - 1,5M Ft havi bér
Data Processing Clerk;Aviation Data Solutions - DEVELOP-IT SOFTWARE LTD Magyarországi Fióktelepe;Anywhere nationwide;A self-starter, with the ability to work independently, and work well under pressure.Taking personal responsibility and ownership of tasks.Proactive, positive approach with the ability to adjust to variable workloads and respond in a positive manner.A highly methodical, logical, process-driven mindset.Desire and drive to achieve 100% accuracy in all tasks.Excellent administrative, organisation and prioritisation skills.Broad IT skills including a high level of proficiency in Microsoft Excel and Google Sheets.Proven creative problem-solving approach and strong analytical skills.High-school diploma (érettségi).Fluent and clear spoken and written English fit for negotiation and technical use is a must.;Angol felsõfok;Adminisztráció;Bruttó 350e Ft havi bér
Áruházi raktáros (Hajdúszoboszló);EURONICS – Vöröskõ Kft.;Hajdúszoboszló;minimum 8 osztályos végzettségfizikai terhelhetõségörülünk neki, ha jó vagy probléma megoldásban;Nem igényel nyelvtudást;Szakmunka;"Bruttó 280e - 323e Ft havi bér


"
DevOps Akadémia (REF385P);Deutsche Telekom IT Solutions;Budapest, Debrecen, Szeged, Pécs, Hungary;Képzettség Informatikai végzettségMinimum elméleti szintû Linux alapokMagabiztos angol nyelvtudásJó kommunikációs készségElõnyLegalább középszintû német nyelvtudásMetodológiák ismerete (Agile, DevOps)Konténerizációs technológiákban való jártasság (vagy érdeklõdés)Script nyelvek (Bash, Python)Elméleti szintû network alapok További információk    * Please be informed that our remote working possibility is only available within Hungary due to European taxation regulation.;Angol középfok;IT Fejlesztés;
Német nyelvû IT támogató munkatárs; ;Budapest;- Német nyelvtudás – (min. B2 - munkavégzésre alkalmas nyelvtudás)  - Angol középfokú nyelvtudás (a belsõ kommunikáció angol nyelven folyik)  - Customer Service-ben vagy IT támogatásban szerzett tapasztalat  - Proaktív kommunikációs képességek  - Csapatjátékos attitûd;Angol felsõfok;Ügyfélszolgálat; 
IT támogató munkatárs idegennyelv-tudással; ;Budapest;- min. B2 - munkavégzésre alkalmas nyelvtudás az alábbi nyelvek egyikén  - FRANCIA, NÉMET, OLASZ, HOLLAND, LENGYEL, SVÉD, NORVÉG, FINN, TÖRÖK, DÁN, SPANYOL, PORTUGÁL  - a fenti nyelvek mellett elvárt ANGOL KÖZÉPFOKÚ NYELVTUDÁS (a belsõ kommunikáció angol nyelven folyik)  - CUSTOMER SERVICE-BEN VAGY IT TÁMOGATÁSBAN SZERZETT TAPASZTALAT  - Proaktív kommunikációs képességek  - Csapatjátékos attitûd;Angol felsõfok;Ügyfélszolgálat; 
German / French / Italian / Dutch Speaking Technical Support Analyst;Tech Mahindra Limited Magyarországi Fióktelepe;Anywhere nationwide;Strong problem resolution and communication skillsFluent German/Italian/French or Dutch - Strong B2 to C1 preferredStrong communication level of English ( at least B2)IT AwarenessRelevant experience is great advantage Excellent in verbal & written communicationProblem solving abilities, strong logical analytics;Angol középfok;Adminisztráció;
Könyvelõ;Varibon Kft.;Debrecen;Szakmai végzettségMinimum 1-3 év tapasztalat hasonló munkakörbenJó kommunikációs készségPrecíz, igényes, lelkiismeretes munkavégzés;Nem igényel nyelvtudást;Pénzügy;Nettó 300e - 350e Ft havi bér
Értékesítési munkatárs;Guide.me Kft;Otthonról végezhetõ;Legalább 2 év értékesítési területen szerzett tapasztalat preferáltan a HoReCa és turisztikai szektorban.Kiváló tárgyaló, kommunikációs és problémamegoldó készség,Felhasználó szintû számitástechnikai tudás (Word, Excel, MS Outlook alapos ismerete)Print és online kiadványok – hirdetési felületek ismerete;Nem igényel nyelvtudást;Értékesítés;"Nettó 200e Ft havi bér


Jutalék"
Minõségellenõr;Debreceni Mechanikai Mûvek Kft.;4030 Debrecen;- hagyományos és CNC forgácsolási technológia és/vagy lakatosipari terület ismerete- önálló munkavégzés- agilitás, szorgalom, precizitás, terhelhetõség és megbízhatóság- felhasználó szintû informatikai ismeret, vállalatirányítási rendszer ismerete- forgácsolási és/vagy lakatos szakterületen szerzett 2-3 éves szakmai tapasztalat- MSZ EN ISO 9001 és MSZ EN ISO 14001 szabványok ismerete;Nem igényel nyelvtudást;Gyártás;
Lottózói eladó (Debrecen);Szerencsejáték Zrt.;Debrecen;legalább középfokú végzettséged van (érettségi bizonyítvány)jó kommunikációs és meggyõzõ készséggel rendelkezeludvarias eladói szemlélet jellemeznyitott vagy új rendszerek megismeréséremunkádat az önállóság mellett a precízség és pontosság jellemzirugalmas és mobilis vagy szeretsz csapatban dolgozni;Nem igényel nyelvtudást;Szakmunka;
Diákmunka - HR adminisztrátor;MÛISZ Szolgáltató Iskolaszövetkezet;Debrecen;- Folyékony angol nyelvtudás- Nappali tagozatos aktív vagy passzív hallgatói jogviszony- Legalább 17 éves kor- Precíz munkavégzés- Jó problémamegoldó képesség- Önálló munkavégzés;Angol középfok;Adminisztráció; 
Junior termékfejlesztõ mérnök;Green Drops Farm Kft.;Rugalmas munkavégzési hely - Hajdú-Bihar megye;Mechatronikai mérnök, Mérnökinformatikus, Villamosmérnök vagy Gépészmérnök végzettség IoT technológia és eszközök ismereteMagabiztos angol nyelvtudásProblémamegoldó képességÖnálló munkavégzésPontos adminisztráció, szorgalomRendszerszemléletB kategóriás jogosítvány elõny Munkavégzés helye: Debrecen;Angol középfok;Gyártás;Bruttó 430e - 450e Ft havi bér
Ügyvezetõi asszisztens;medixwell Korlátolt Felelõsságû Társaság;Országosan bárhonnan végezhetõ;Precizitás, határidõk betartásaNyitottság a munkakör és az új dolgok feléJó kommunikációs- és szervezõkészségHatározott fellépés, fejlett problémamegoldó készségMinimum középfokú végzettségB kategóriás jogosítvány;Nem igényel nyelvtudást;Adminisztráció;
Hõszivattyú specialista (Budapest/Debrecen/Gyõr/Szeged);GIENGER HUNGÁRIA ÉPÜLETGÉPÉSZETI Kft.;Budapest, Szeged, Debrecen, Gyõr;Hõszivattyúk értékesítésében szerzett tapasztalatHõszivattyúk szervizelésében/beüzemelésében szerzett tapasztalatBeszállítók, gyártók ismereteMinimum középfokú szakirányú végzettségKiemelkedõ kreativitásÖnálló, precíz munkavégzésJó kommunikációs és problémamegoldó képességB. kategóriás jogosítvány;Nem igényel nyelvtudást;Értékesítés;
Igazgatósági asszisztens;Szin-Office Kft.;Debrecen;Hasonló munkakörben szerzett már 3-5 év tapasztalatot,Felsõfokú végzettséggel rendelkezik - elõnyt jelent kommunikációs vagy marketing szakirány,Társalgási szintû angol nyelvtudással bír írásban és szóban egyaránt,Rutinosan használja az irodai eszközöket és szoftvereket,Magabiztosan kommunikál írásban és szóban egyaránt,Élvezi, ha változatos feladatokkal találja magát szemben, ahol megmutathatja önállóságát, kiváló szervezõ és problémamegoldó készségét,Munkavégzése során precíz, diszkrét, proaktív. A pályázat elbírálása során elõnyt jelent a céges weboldal vagy Facebook oldal kezelésében szerzett jártasság.;Angol alapfok;Adminisztráció;
